Rk,Type,Team,Tm,FGA,3PA,2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,Dist.,%FG: 2P,%FG: 0-3,%FG: 3-10,%FG: 10-16,%FG: 16-3P,%FG: 3P,%FG: Ast'd: 2P,%FG AST'd: 3P,%FGA Dunk,%3PA Corner,Bench MIN,Bench FGA
9,Regular,23RSMilwaukee Bucks*,Milwaukee Bucks*,90.4,40.3,50.1,22.4,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,29.8,100.5,0.248,15.3,0.554,0.236,0.156,0.091,0.071,0.446,0.489,0.819,0.052,0.23,18.7,29.2
13,Regular,23RSMinnesota Timberwolves*,Minnesota Timberwolves*,87.4,33.3,54.1,23.7,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,25.8,101,0.271,13.2,0.619,0.285,0.208,0.075,0.051,0.381,0.539,0.79,0.067,0.241,16.4,28.4
11,Regular,23RSNew York Knicks*,New York Knicks*,89.4,35.7,53.6,25.5,12.6,34,46.6,22.9,6.4,4.1,13,20.3,24.5,97.1,0.285,13.6,0.6,0.266,0.196,0.096,0.043,0.4,0.428,0.82,0.066,0.272,16.2,24.4
14,Regular,23RSPhiladelphia 76ers*,Philadelphia 76ers*,83.8,32.6,51.2,25.1,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,28.2,96.9,0.3,13.8,0.611,0.251,0.191,0.109,0.054,0.389,0.516,0.806,0.044,0.256,16.6,25.2
17,Regular,23RSPhoenix Suns*,Phoenix Suns*,90.1,32.6,57.5,21.7,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,28.1,98.2,0.241,14.3,0.638,0.194,0.203,0.159,0.083,0.362,0.562,0.856,0.047,0.291,17.8,30.1
1,Regular,23RSSacramento Kings*,Sacramento Kings*,88.2,37.3,50.9,25.1,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,25.4,100.3,0.284,14.1,0.577,0.243,0.199,0.08,0.05,0.423,0.495,0.875,0.059,0.226,16.9,29.1
6,Regular,22RSAtlanta Hawks*,Atlanta Hawks*,88.3,34.4,53.9,22.3,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,26.1,97.7,0.253,14.5,0.61,0.246,0.164,0.111,0.089,0.39,0.529,0.735,0.06,0.221,17.6,28.5
12,Regular,22RSBoston Celtics*,Boston Celtics*,87.4,37.1,50.3,20.9,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,26.1,96.6,0.239,14.8,0.575,0.218,0.203,0.082,0.073,0.425,0.512,0.813,0.058,0.231,16.3,24.6
9,Regular,22RSBrooklyn Nets*,Brooklyn Nets*,88.4,31.7,56.7,21.7,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,29.1,99,0.246,13.9,0.641,0.245,0.166,0.136,0.094,0.359,0.541,0.764,0.053,0.235,17.6,27.8
13,Regular,22RSChicago Bulls*,Chicago Bulls*,86.9,28.8,58.1,21.5,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,26.3,98.3,0.248,13.8,0.668,0.259,0.151,0.127,0.131,0.332,0.476,0.852,0.05,0.273,15.7,20.9
24,Regular,22RSDallas Mavericks*,Dallas Mavericks*,85.1,37.4,47.8,21.2,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,26.7,95.4,0.249,15.3,0.561,0.206,0.176,0.108,0.071,0.439,0.502,0.783,0.059,0.262,17.3,27.6
10,Regular,22RSDenver Nuggets*,Denver Nuggets*,86.3,35.9,50.4,21.0,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,27.7,97.8,0.244,14.4,0.584,0.236,0.204,0.073,0.071,0.416,0.584,0.857,0.059,0.265,18.1,29.6
15,Regular,22RSGolden State Warriors*,Golden State Warriors*,86.4,39.4,47.0,20.3,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,27.6,98.4,0.235,15.5,0.544,0.205,0.201,0.07,0.068,0.456,0.595,0.804,0.057,0.215,19.6,28.6
2,Regular,22RSMemphis Grizzlies*,Memphis Grizzlies*,94.4,32.7,61.7,23.1,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,24,100.3,0.245,12.9,0.654,0.263,0.235,0.111,0.045,0.346,0.504,0.854,0.056,0.231,19.8,33
17,Regular,22RSMiami Heat*,Miami Heat*,84.8,35.8,49.0,21.4,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,28.2,95.9,0.252,14.9,0.578,0.224,0.182,0.107,0.065,0.422,0.537,0.849,0.049,0.296,17.8,32.1
3,Regular,22RSMilwaukee Bucks*,Milwaukee Bucks*,89.4,38.4,51.0,22.9,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,28.5,99.9,0.257,15.1,0.57,0.236,0.161,0.103,0.07,0.43,0.461,0.789,0.049,0.241,17.4,24.2
1,Regular,22RSMinnesota Timberwolves*,Minnesota Timberwolves*,91.0,41.3,49.7,23.1,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,24.2,100.9,0.254,14.5,0.546,0.267,0.173,0.059,0.047,0.454,0.519,0.797,0.066,0.223,18.4,31.3
21,Regular,22RSNew Orleans Pelicans*,New Orleans Pelicans*,88.0,32.1,55.9,23.2,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,25.6,97.2,0.264,13.6,0.635,0.266,0.189,0.1,0.081,0.365,0.531,0.873,0.055,0.24,17.2,28.6
18,Regular,22RSPhiladelphia 76ers*,Philadelphia 76ers*,84.5,31.8,52.7,23.8,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,26.8,96.2,0.282,14,0.624,0.24,0.194,0.119,0.071,0.376,0.505,0.835,0.05,0.244,15.5,23.4
5,Regular,22RSPhoenix Suns*,Phoenix Suns*,90.1,31.9,58.2,19.9,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,27.5,99.8,0.221,14.2,0.646,0.188,0.222,0.149,0.088,0.354,0.552,0.832,0.053,0.26,16.7,29.3
20,Regular,22RSToronto Raptors*,Toronto Raptors*,91.3,34.2,57.1,21.3,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,24.8,96,0.234,14.3,0.625,0.225,0.209,0.097,0.095,0.375,0.434,0.804,0.055,0.24,14.4,22.3
7,Regular,22RSUtah Jazz*,Utah Jazz*,86.2,40.3,45.8,23.4,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,29.3,97.1,0.271,15.1,0.532,0.203,0.235,0.066,0.029,0.468,0.454,0.727,0.07,0.242,17.4,31.3
13,Regular,21RSPAtlanta Hawks*,Atlanta Hawks*,87.2,33.4,53.9,24.2,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,25.4,97.6,0.278,13.9,0.618,0.26,0.178,0.119,0.061,0.382,0.504,0.791,0.065,0.207,17.3,27.5
16,Regular,21RSPBoston Celtics*,Boston Celtics*,88.9,36.4,52.5,20.8,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,25.1,98.3,0.234,14.7,0.591,0.218,0.208,0.094,0.071,0.409,0.478,0.746,0.054,0.191,18,24.7
2,Regular,21RSPBrooklyn Nets*,Brooklyn Nets*,87.3,36.1,51.2,22.5,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,28.2,99.5,0.258,14.1,0.587,0.271,0.164,0.097,0.055,0.413,0.536,0.795,0.062,0.22,18,28.2
